DEPTH	SP	GR	CALI	BitSize	LL8	ILM	ILD	RHOB	NPHI	DT	MudWgt	NPHI_pct	 Phixnd_chartbook 	 RhoMatrix 
4000	-29.813	92.048	10.83	10	0.717	0.748	0.748	2.208	0.43716	50	10	43.716	0.367495383	2.851765869
4000.5	-28.6983	89.0188	11.1512	10	0.7205	0.7508	0.7503	2.206	0.4209	50	10	42.09	0.364825439	2.841253614
4001	-28.125	87.828	10.947	10	0.718	0.755	0.752	2.206	0.4202	50	10	42.02	0.364815735	2.841227013
4001.5	-27.6047	86.157	11.1852	10	0.7347	0.7608	0.7557	2.2105	0.425797	50	10	42.5797	0.364717158	2.848040284
4002	-27.188	87.102	11.396	10	0.733	0.765	0.759	2.218	0.43353	50	10	43.353	0.363870561	2.857503948
4002.5	-26.4692	86.684	11.3663	10	0.7482	0.7703	0.7613	2.22	0.444067	50	10	44.4067	0.365649763	2.865586163
4003	-27.25	88.234	10.923	10	0.749	0.772	0.763	2.225	0.43665	50	10	43.665	0.362910827	2.865843854
4003.5	-26.5208	86.236	11.103	10	0.7558	0.7738	0.7642	2.2165	0.438613	50	10	43.8613	0.36403744	2.855606494
4004	-26.625	87.021	11.078	10	0.735	0.773	0.765	2.224	0.46728	50	10	46.728	0.365458224	2.871356974
4004.5	-27.1355	85.6867	10.94	10	0.7277	0.772	0.7672	2.2268	0.476572	50	10	47.6572	0.355981657	2.849639605
4005	-27.813	85.97	10.975	10	0.726	0.772	0.768	2.241	0.48663	50	10	48.663	0.354379118	2.867291039
4005.5	-28.625	86.454	10.9912	10	0.7472	0.7733	0.7683	2.243	0.491972	50	10	49.1972	0.354154159	2.869772177
4006	-28	88.194	10.622	10	0.753	0.775	0.77	2.243	0.48738	50	10	48.738	0.354222028	2.869958172
4006.5	-27.8855	86.3415	10.536	10	0.7568	0.7785	0.7747	2.235	0.464058	50	10	46.4058	0.355680192	2.861547581
4007	-27.938	85.024	10.621	10	0.756	0.781	0.778	2.235	0.4213	50	10	42.13	0.358560062	2.869456395
4007.5	-28.0422	86.07	10.8557	10	0.756	0.7868	0.784	2.2395	0.417227	50	10	41.7227	0.35832719	2.875827155
4008	-28.563	90.465	10.709	10	0.766	0.791	0.789	2.242	0.41996	50	10	41.996	0.358154283	2.87924378
4008.5	-27.5938	90.0973	10.658	10	0.7738	0.7993	0.7973	2.2492	0.446342	50	10	44.6342	0.353998829	2.878944143
4009	-27.438	93.429	10.663	10	0.778	0.806	0.804	2.255	0.453	50	10	45.3	0.35360071	2.88682127
4009.5	-26.5108	93.0287	10.6607	10	0.7922	0.8165	0.8135	2.2568	0.427683	50	10	42.7683	0.349786956	2.879109186
4010	-26.25	91.567	10.689	10	0.798	0.824	0.821	2.261	0.41325	50	10	41.325	0.349551004	2.884920889
4010.5	-24.5625	86.2712	10.6843	10	0.8502	0.8342	0.8292	2.257	0.411462	50	10	41.1462	0.353004157	2.888264967
4011	-23	82.217	10.681	10	0.866	0.84	0.835	2.262	0.42922	50	10	42.922	0.349415343	2.886085773
4011.5	-23.7605	85.9988	10.6947	10	0.8547	0.8445	0.8443	2.2542	0.445718	50	10	44.5718	0.353607397	2.885602116
4012	-24.438	82.208	10.698	10	0.828	0.847	0.851	2.25	0.46851	50	10	46.851	0.353774593	2.879564819
4012.5	-26.3233	84.2853	10.804	10	0.8	0.8517	0.8557	2.2275	0.459128	50	10	45.9128	0.357157071	2.853927668
4013	-27	82.557	10.929	10	0.84	0.855	0.854	2.215	0.43892	50	10	43.892	0.364249618	2.853833002
4013.5	-27.0525	83.6038	10.8948	10	0.8702	0.8563	0.848	2.2012	0.381552	50	10	38.1552	0.355801773	2.80941172
4014	-27	81.813	10.609	10	0.881	0.853	0.843	2.217	0.37091	50	10	37.091	0.340921007	2.794789263
4014.5	-27.5625	81.5763	10.6063	10	0.8072	0.841	0.84	2.2387	0.390782	50	10	39.0782	0.355180113	2.865919482
4015	-27.875	80.548	10.758	10	0.778	0.831	0.84	2.257	0.43144	50	10	43.144	0.349716161	2.879223057
4015.5	-27.4167	82.6665	10.7313	10	0.7773	0.8212	0.8355	2.2447	0.439792	50	10	43.9792	0.354424307	2.873146065
4016	-27.625	82.514	10.663	10	0.794	0.817	0.828	2.233	0.424	50	10	42.4	0.358529061	2.866253047
